hip_name,sy_pnum
60202,1
74793,1
116076,1
79248,2
96901,1
79540,1
103527,1
70791,1
50887,2
12184,1
42527,1
90344,1
53721,3
21547,1
113357,1
43587,5
31039,1
64924,3
31592,2
65721,1
11791,2
73136,1
12247,1
114855,1
30034,1
25486,1
102409,3
104780,1
78407,1
12684,1
88617,1
114458,1
27803,2
49067,2
90979,2
2247,1
10337,2
27305,4
8501,1
28941,1
96258,1
116748 A,1
57050,2
16069,2
1475,2
19165,1
19394,3
22627,1
22762,3
34785,1
29295,2
33226,1
3143,1
36208,2
1292,1
5812,1
6365,1
10037,3
15799,1
43790,2
120005,1
47103,3
47780,3
51317,1
79126,1
84460,2
54035,2
54646,2
55042,1
56528,3
57087,1
60398,1
61706,1
62452,1
64792,1
65859,1
68469,1
74995,3
80459,1
83043,1
85523,1
85647,4
86057,1
86214,2
86087,1
86162,2
91128,1
91608,1
93101,1
102401,2
106440,1
109388,2
10138,1
113020,4
114046,2
116132 A,1
60093,1
11048,1
99699,1
103768,1
115752,3
49189,1
4872,1
86287,1
97657,2
80076,2
32209,1
56379,1
56508,1
56572,1
7599,6
57172,1
57291,1
57370,1
57428,1
57467,2
57443,1
57735,1
57820,1
57931,1
58237,1
58263,1
58331,1
58374,1
58451,1
58952,1
59610,1
59625,1
7978,1
59743 A,1
59960,1
8159,1
60081,2
60644,1
60648,1
60689,5
60788,1
61020,1
61028,2
61177,1
61300,2
61298,1
61595 A,1
61723,2
61740,1
62662,1
61820,2
62039,1
62534,2
62653,1
62875,1
63090,1
63211,1
63203,1
63584,2
8541,2
63833,2
64022,1
64184,1
64295,1
64408,1
64459,1
64457,2
8770,3
64797 A,2
65042,1
65117,2
65808,1
9242,1
66047,1
66192,1
9094,2
8928,1
66903,1
68162,1
9519,1
69888,1
70170,1
70123,3
10800,1
70695,1
9683,2
70623,1
70950,1
71395,2
71481,1
72203,1
72339,1
72845,1
9960,1
10085,1
73146,1
73261 A,1
73674 A,3
73674 B,3
74273,2
74653,5
74500,2
74856,1
74948,1
75181,3
74961,1
75281,1
76351,1
10301,2
10743,2
10626,1
76311,1
1419,1
10657,1
77358,2
77257,1
77301,4
77740,1
522,3
79242,1
77783,1
78169,1
77838,1
78521,1
79346,1
79219,1
1499,2
80250,2
79755,1
80337,1
11130,1
80486,2
80680,1
80484,2
80687,1
80838,1
81022,1
81375,1
1547,1
80902,1
82632,1
82651,1
11433,2
83020 A,3
83547,1
83541,1
83389,1
83289,1
83983,1
84069,2
83949,2
84988,2
84171,2
84787,1
84607,2
84856,1
85294,1
85268,5
84769,1
85911,2
86375,2
1640,2
86796,4
12048,1
12191,1
87330,1
87601,2
12186,1
88268,1
88194,1
88414,1
88348,4
88595,1
88650,1
1666,1
89354,1
89047,1
89583,1
89474,1
89844,2
90004,1
1692,1
12436,1
90485,2
90593,1
91085,1
13192,1
91852,1
93281,1
92895,1
93373,1
13291,1
93540,2
93858,1
93746,2
94075,1
94256,1
94645,1
94465,1
13467,1
94576,1
94761,1
94951,1
95015,1
95124,1
13642 A,2
95467,3
95262,1
95740,2
96160,1
14417,1
96507,1
96861,1
13754,1
97546,1
97336,2
13993,1
97769,1
98959,2
98505,1
98698,1
98714,1
98767,2
99115,1
99496,1
99306,1
99175,6
99711,1
99825,2
99894,1
100970,1
101806,1
102125,1
101966,1
101948,1
104436,1
14954,1
14530,2
104202,2
104903,1
105056,2
105232,1
15249,1
1931,1
106006,3
106353,1
106824,1
107160,1
107251,1
108162 A,1
15526,5
15527,5
107985,2
107038,1
15510,4
108375,1
108296,1
15578,1
108513,1
108859,1
109381,1
109378,1
109577,1
109876,1
110094,1
110443,1
110852,1
110813,1
111143,1
111136,1
111553,2
16012,1
111928,1
112190,4
112441,2
113044,1
113137,1
112527,2
113238,1
16085,2
113421,2
113834,2
114322,1
114699,1
114622,6
115100,2
115218,1
115359,1
115662,1
115697,1
115714,1
116084,1
116158,1
116250,1
116221,1
116630,1
116616,1
116906,1
118228,1
118319,1
16711,1
17187,1
17047,3
17096,1
17054,1
96078,1
55806,1
17264,5
98668,1
17747,1
59514,1
91388,1
114840,1
17960,2
18451,1
17515,1
18527,1
18387,1
19011,1
31635,2
19428,1
2350,1
19849,1
19921,1
20199,1
20277,3
20753,1
20723,2
20606,1
19207,1
21932,1
21109,1
21571,1
25191,1
2611,1
21850,2
22336,1
22320,1
22491,1
22826,1
22905,3
2736,4
24003,1
23884,1
77517,1
23844,3
23889,1
25110,1
24275,2
24681,6
25883,1
26638,1
3093,1
26381,3
26664,2
3206,1
26380,1
27253,2
27384,1
26394,3
27080,3
27922 A,1
27887,5
28951,1
28767,1
28393 A,2
28393 B,2
3391,1
29242,1
3502,2
3479,1
29432,1
3497,1
3574,1
29550,2
30057,1
30114,1
30503,2
30860,1
30579,2
30905,1
31246,1
31540,2
3834,2
31674,2
31688,1
3869,1
31895,1
3975,1
32916,1
32970,2
33212,1
33229,2
33719,1
3911,2
4297,2
34801,1
4552,1
801,1
4715,1
36616,1
37196,1
36795,2
36941,2
37826,1
38228,3
37284,1
38041,1
38374,2
38392,1
5054,1
38558,2
39311,1
39417,2
39767,2
5301,1
39589,1
5447,1
40687,2
40344,1
40693,3
40952,1
5529,1
41997,1
42030,2
42098,1
42214,1
42202,2
42282,2
42446,1
42401,2
42723,2
5806,1
42532,2
43177,1
43297,1
43569,2
43674,1
43686,1
43803,1
44291,1
44746,1
6379,3
45406,1
45982,1
46022,1
46076,1
46471,1
47193,2
47087,1
47007,2
6390,1
47202,2
6511,1
48235,1
48331,1
6643,1
48711,1
48739,2
48780,1
6702,1
49129,1
49522 A,1
49699,1
49813,1
50316,1
50473,1
50496,1
50786,1
50653,1
50921,1
6993,1
52409,2
52521,1
7245,2
53437,1
53545,1
53524,1
53666,2
53733,1
53719,1
54203,1
54158,1
54232,1
54195,1
54400,3
54595,1
54413,1
54906,1
55174,1
55409,1
55486 A,1
55664,1
55848,2
55994,2
105854,1
107772,1
107773,1
109384,1
109600,1
113103,2
114933,1
116454,1
12961,1
14810,3
19976,1
21152,1
29442,3
34222,1
35173,1
35965,1
38594,2
41378,5
4845,1
48714,1
5158,2
54373,2
54597,1
55507,1
56640,1
57274,3
5763,1
63242,1
65 A,1
65407,2
65426,1
65891,1
66074,1
67522,1
67537,1
67851,2
70849,1
71135,1
74890,1
75092,1
78530,1
79098 AB,1
79431,1
81208 C,1
86221,1
90988,1
91258,1
94235,1
948,1
9618,2
97166,2
97233,1
99770,1
71253,1
107350,1
32775,1
67246,1
12653,1
13363,3
114189,4
110620,1
110758,1
109656,1
52733,1
29301,1
96618,1
52796,1
51260 A,1
24323,1
101252,1
24186,1
94112,1
94931,5
115211,1
28754,1
14101,2
117883,1
104513,1
25793,1
92680,1
70890,1
57548,1
63510,1
62908,1
70705,1
57099,1
738,1
27515,1
74981,1
10117,1
26013,3
19950,1
13224,1
73427,2
7562,2
73608,1
11397,1
80824,3
67285,1
5643,3
9884,1
21421,1
40526,1
27321,2
72607,1
78159,1
16537,1
108870,1
20889,1
116727,1
76333,2
50583 A,1
75458,2
116805,1
77655,1
48455,1
107089,1
88048,2
77578,1
75049,1
41704,1
86620,1
78459,4
67275,1
8102,4
34693,1
7513,3
97938,1
